id,has_TM,has_SP
seq113,0,0
seq462,0,0
seq501,0,0
seq578,0,0
seq648,0,0
seq673,0,0
seq736,0,0
seq817,0,0
seq949,0,0
seq1048,0,0
seq1167,0,0
seq1227,0,0
seq1346,0,0
seq1445,0,0
seq1541,0,0
seq1660,0,0
seq1708,0,0
seq1729,0,0
seq1855,0,0
seq1929,0,0
seq2168,0,0
seq2424,0,0
seq2532,0,0
seq2550,0,0
seq2737,0,0
seq2741,0,0
seq2827,0,0
seq3117,0,0
seq3122,0,0
seq3124,0,0
seq3296,0,0
seq3474,0,0
seq3506,0,0
seq3522,0,0
seq3670,0,0
seq3769,0,0
seq3774,0,0
seq3845,0,0
seq3851,0,0
seq3932,0,0
seq4111,0,0
seq4249,0,0
seq4278,0,0
seq4312,0,0
seq4324,0,0
seq4366,0,0
seq4387,0,0
seq4679,0,0
seq4910,0,0
seq4967,0,0
seq4990,0,0
seq4994,0,0
seq5157,0,0
seq5359,0,0
seq5419,0,0
seq5577,0,0
seq5584,0,0
seq5780,0,0
seq5794,0,0
seq5800,0,0
seq5884,0,0
seq5994,0,0
seq6026,0,0
seq6051,0,0
seq6083,0,0
seq6096,0,0
seq6394,0,0
seq6396,0,0
seq6456,0,0
seq6517,0,0
seq6632,0,0
seq6640,0,0
seq6663,0,0
seq6726,0,0
seq6890,0,0
seq6964,0,0
seq7148,0,0
seq7154,0,0
seq7179,0,0
seq7204,0,0
seq7218,0,0
seq7243,0,0
seq7303,0,0
seq7422,0,0
seq7426,0,0
seq7531,0,0
seq7583,0,0
seq7586,0,0
seq7682,0,0
seq7877,0,0
seq7879,0,0
seq7915,0,0
seq7945,0,0
seq7953,0,0
seq8027,0,0
seq8221,0,0
seq8411,0,0
seq8454,0,0
seq8456,0,0
seq8577,0,0
seq8667,0,0
seq8672,0,0
seq8802,0,0
seq8838,0,0
seq8907,0,0
seq8921,0,0
seq9041,0,0
seq9100,0,0
seq9105,0,0
seq9167,0,0
seq9276,0,0
seq9412,0,0
seq9439,0,0
seq9549,0,0
seq9825,0,0
seq9877,0,0
seq9914,0,0
seq10050,0,0
seq10198,0,0
seq10224,0,0
seq10572,0,0
seq10576,0,0
seq10690,0,0
seq10721,0,0
seq10746,0,0
seq10749,0,0
seq10773,0,0
seq10926,0,0
seq11079,0,0
seq11197,0,0
seq11335,0,0
seq11374,0,0
seq11390,0,0
seq11475,0,0
seq11502,0,0
seq11783,0,0
seq11803,0,0
seq11852,0,0
seq11971,0,0
seq12004,0,0
seq12026,0,0
seq12209,0,0
seq12258,0,0
seq12332,0,0
seq12404,0,0
seq12490,0,0
seq12550,0,0
seq12574,0,0
seq12583,0,0
seq12592,0,0
seq12758,0,0
seq12766,0,0
seq12836,0,0
seq13152,0,0
seq13157,0,0
seq13278,0,0
seq13362,0,0
seq13447,0,0
seq13460,0,0
seq13648,0,0
seq13694,0,0
seq13724,0,0
seq13750,0,0
seq13816,0,0
seq13845,0,0
seq14036,0,0
seq14076,0,0
seq14149,0,0
seq14180,0,0
seq14346,0,0
seq14447,0,0
seq14488,0,0
seq14513,0,0
seq14589,0,0
seq14638,0,0
seq14725,0,0
seq14732,0,0
seq14733,0,0
seq14838,0,0
seq15066,0,0
seq15147,0,0
seq15160,0,0
seq15188,0,0
seq15318,0,0
seq15550,0,0
seq15695,0,0
seq15996,0,0
seq16029,0,0
seq16159,0,0
seq16180,0,0
seq16215,0,0
seq16250,0,0
seq16357,0,0
seq16361,0,0
seq16584,0,0
seq16665,0,0
seq16671,0,0
seq16724,0,0
seq16750,0,0
seq16782,0,0
seq16790,0,0
seq16910,0,0
seq16946,0,0
seq17204,0,0
seq17302,0,0
seq17368,0,0
seq17458,0,0
seq17477,0,0
seq17538,0,0
seq17623,0,0
seq17657,0,0
seq17896,0,0
seq17915,0,0
seq17934,0,0
seq17940,0,0
seq17975,0,0
seq17981,0,0
seq18214,0,0
seq18327,0,0
seq18518,0,0
seq18523,0,0
seq18532,0,0
seq18677,0,0
seq18691,0,0
seq18726,0,0
seq18781,0,0
seq18789,0,0
seq19025,0,0
seq19035,0,0
seq19037,0,0
seq19059,0,0
seq19196,0,0
seq20936,0,0
seq21049,0,0
seq21210,0,0
seq22366,0,0
seq25310,0,0
seq25434,0,0
seq26412,0,0
seq26902,0,0
seq26994,0,0
seq27549,0,0
seq27735,0,0
seq28017,0,0
seq28537,0,0
seq29147,0,0
seq30017,0,0
seq30393,0,0
seq30439,0,0
seq31049,0,0
seq31248,0,0
seq31255,0,0
seq32080,0,0
seq32959,0,0
seq33342,0,0
seq33401,0,0
seq34106,0,0
seq34227,0,0
seq34292,0,0
seq35386,0,0
seq35551,0,0
seq36804,0,0
seq37000,0,0
seq37017,0,0
seq37666,0,0
seq38136,0,0
seq39485,0,0
seq39596,0,0
seq39629,0,0
seq39749,0,0
seq39803,0,0
seq39920,0,0
seq40042,0,0
seq40102,0,0
seq40186,0,0
seq40283,0,0
seq40368,0,0
seq40552,0,0
seq40745,0,0
seq40901,0,0
seq41081,0,0
seq41699,0,0
seq42158,0,0
seq42173,0,0
seq42292,0,0
seq42345,0,0
seq42564,0,0
seq42756,0,0
seq43201,0,0
seq43208,0,0
seq43290,0,0
seq43477,0,0
seq43604,0,0
seq43728,0,0
seq43907,0,0
seq44059,0,0
seq44293,0,0
seq44305,0,0
seq44494,0,0
seq45140,0,0
seq45676,0,0
seq45694,0,0
seq45700,0,0
seq45713,0,0
seq45790,0,0
seq45871,0,0
seq45902,0,0
seq46114,0,0
seq46252,0,0
seq46476,0,0
seq46616,0,0
seq46677,0,0
seq46907,0,0
seq46934,0,0
seq47011,0,0
seq47145,0,0
seq47178,0,0
seq47224,0,0
seq47245,0,0
seq47445,0,0
seq47564,0,0
seq47581,0,0
seq47604,0,0
seq47684,0,0
seq47692,0,0
seq47768,0,0
seq47879,0,0
seq47912,0,0
seq47958,0,0
seq47965,0,0
seq48038,0,0
seq48076,0,0
seq48085,0,0
seq48111,0,0
seq48228,0,0
seq48326,0,0
seq48364,0,0
seq48382,0,0
seq48467,0,0
seq48473,0,0
seq48640,0,0
seq48660,0,0
seq48746,0,0
seq48772,0,0
seq48810,0,0
seq48823,0,0
seq48840,0,0
seq48908,0,0
seq49041,0,0
seq49063,0,0
seq49074,0,0
seq49094,0,0
seq49104,0,0
seq49110,0,0
seq49123,0,0
seq49139,0,0
seq49168,0,0
seq49171,0,0
seq49199,0,0
seq49277,0,0
seq49284,0,0
seq49299,0,0
seq49368,0,0
seq49399,0,0
seq49401,0,0
seq49409,0,0
seq49513,0,0
seq49563,0,0
seq49574,0,0
seq49704,0,0
seq49737,0,0
seq49915,0,0
seq49920,0,0
seq49958,0,0
seq49998,0,0
seq50005,0,0
seq50007,0,0
seq50035,0,0
seq50049,0,0
seq50055,0,0
seq50083,0,0
seq50097,0,0
seq50107,0,0
seq50166,0,0
seq50192,0,0
seq50209,0,0
seq50242,0,0
seq50318,0,0
seq50394,0,0
seq50418,0,0
seq50470,0,0
seq50497,0,0
seq50535,0,0
seq50603,0,0
seq50650,0,0
seq50699,0,0
seq50733,0,0
seq50806,0,0
seq50919,0,0
seq50930,0,0
seq50943,0,0
seq51067,0,0
seq51078,0,0
seq51125,0,0
seq51142,0,0
seq51341,0,0
seq51372,0,0
seq51424,0,0
seq51439,0,0
seq51469,0,0
seq51478,0,0
seq51527,0,0
seq51606,0,0
seq51627,0,0
seq51693,0,0
seq51710,0,0
seq51758,0,0
seq51933,0,0
seq52131,0,0
seq52183,0,0
seq52336,0,0
seq52451,0,0
seq52505,0,0
seq52581,0,0
seq52608,0,0
seq52644,0,0
seq52655,0,0
seq52694,0,0
seq52761,0,0
seq52776,0,0
seq52834,0,0
seq52836,0,0
seq52870,0,0
seq52874,0,0
seq52895,0,0
seq52915,0,0
seq52974,0,0
seq53094,0,0
seq53106,0,0
seq53143,0,0
seq53169,0,0
seq53269,0,0
seq53422,0,0
seq53423,0,0
seq53517,0,0
seq53583,0,0
seq53660,0,0
seq53808,0,0
seq53809,0,0
seq53882,0,0
seq53919,0,0
seq53946,0,0
seq54057,0,0
seq54190,0,0
seq54231,0,0
seq54274,0,0
seq54277,0,0
seq54384,0,0
seq54431,0,0
seq54464,0,0
seq54477,0,0
seq54501,0,0
seq54611,0,0
seq54690,0,0
seq54736,0,0
seq54742,0,0
seq54812,0,0
seq54851,0,0
seq55003,0,0
seq55004,0,0
seq55079,0,0
seq55087,0,0
seq55153,0,0
seq55174,0,0
seq55194,0,0
seq55226,0,0
seq55306,0,0
seq55345,0,0
seq55351,0,0
seq55352,0,0
seq55384,0,0
seq55486,0,0
seq55497,0,0
seq55589,0,0
seq55720,0,0
seq55756,0,0
seq55768,0,0
seq55814,0,0
seq55825,0,0
seq55866,0,0
seq55939,0,0
seq56240,0,0
seq56268,0,0
seq56308,0,0
seq56315,0,0
seq56333,0,0
seq56511,0,0
seq56581,0,0
seq56597,0,0
seq56621,0,0
seq56630,0,0
seq56703,0,0
seq56771,0,0
seq56831,0,0
seq56940,0,0
seq56952,0,0
seq56965,0,0
seq56989,0,0
seq56996,0,0
seq57123,0,0
seq57238,0,0
seq57260,0,0
seq57324,0,0
seq57409,0,0
seq57410,0,0
seq57427,0,0
seq57488,0,0
seq57521,0,0
seq57528,0,0
seq57533,0,0
seq57561,0,0
seq57632,0,0
seq57652,0,0
seq57663,0,0
seq57711,0,0
seq57722,0,0
seq57749,0,0
seq57802,0,0
seq57811,0,0
seq57905,0,0
seq57951,0,0
seq58031,0,0
seq58045,0,0
seq58105,0,0
seq58161,0,0
seq58208,0,0
seq58239,0,0
seq58243,0,0
seq58314,0,0
seq58343,0,0
seq58417,0,0
seq58589,0,0
seq58677,0,0
seq58750,0,0
seq58763,0,0
seq58799,0,0
seq58805,0,0
seq58992,0,0
seq59011,0,0
seq59031,0,0
seq59118,0,0
seq59119,0,0
seq59120,0,0
seq59135,0,0
seq59138,0,0
seq59245,0,0
seq59247,0,0
seq59280,0,0
seq59351,0,0
seq59449,0,0
seq59509,0,0
seq59511,0,0
seq59614,0,0
seq59618,0,0
seq59670,0,0
seq59701,0,0
seq59754,0,0
seq59766,0,0
seq59770,0,0
seq59786,0,0
seq59868,0,0
seq59912,0,0
seq59941,0,0
seq60024,0,0
seq60099,0,0
seq60109,0,0
seq60162,0,0
seq60168,0,0
seq60254,0,0
seq60316,0,0
seq60349,0,0
seq60404,0,0
seq60513,0,0
seq60577,0,0
seq60674,0,0
seq60804,0,0
seq60840,0,0
seq60879,0,0
seq60898,0,0
seq60951,0,0
seq60959,0,0
seq60966,0,0
seq61065,0,0
seq61120,0,0
seq61138,0,0
seq61141,0,0
seq61152,0,0
seq61197,0,0
seq61223,0,0
seq61294,0,0
seq61318,0,0
seq61381,0,0
seq61628,0,0
seq61633,0,0
seq61677,0,0
seq61755,0,0
seq61797,0,0
seq61838,0,0
seq61840,0,0
seq61858,0,0
seq61873,0,0
seq61886,0,0
seq61930,0,0
seq62010,0,0
seq62041,0,0
seq62045,0,0
seq62105,0,0
seq62126,0,0
seq62157,0,0
seq62216,0,0
seq62270,0,0
seq62293,0,0
seq62338,0,0
seq62356,0,0
seq62406,0,0
seq62458,0,0
seq62478,0,0
seq62507,0,0
seq62555,0,0
seq62569,0,0
seq62570,0,0
seq62591,0,0
seq62636,0,0
seq62646,0,0
seq62647,0,0
seq62668,0,0
seq62689,0,0
seq62704,0,0
seq62710,0,0
seq62742,0,0
seq62754,0,0
seq62793,0,0
seq62809,0,0
seq62826,0,0
seq62843,0,0
seq62927,0,0
seq62977,0,0
seq62982,0,0
seq63000,0,0
seq63013,0,0
seq63047,0,0
seq63050,0,0
seq63057,0,0
seq63070,0,0
seq63088,0,0
seq63104,0,0
seq63133,0,0
seq63136,0,0
seq63155,0,0
seq63166,0,0
seq63180,0,0
seq63229,0,0
seq63265,0,0
seq63321,0,0
seq63324,0,0
seq63337,0,0
seq63364,0,0
seq63394,0,0
seq63433,0,0
seq63435,0,0
seq63447,0,0
seq63450,0,0
seq63458,0,0
seq63469,0,0
seq63470,0,0
seq63477,0,0
seq63489,0,0
seq63606,0,0
seq63679,0,0
seq63687,0,0
seq63692,0,0
seq63718,0,0
seq63758,0,0
seq63806,0,0
seq63880,0,0
seq63894,0,0
seq63909,0,0
seq63913,0,0
seq63951,0,0
seq63967,0,0
seq64023,0,0
seq64025,0,0
seq64105,0,0
seq64108,0,0
seq64109,0,0
seq64111,0,0
seq64168,0,0
seq64179,0,0
seq64180,0,0
seq64183,0,0
seq64203,0,0
seq64210,0,0
seq64257,0,0
seq64289,0,0
seq64335,0,0
seq64347,0,0
seq64427,0,0
seq64442,0,0
seq64473,0,0
seq64482,0,0
seq64487,0,0
seq64530,0,0
seq64591,0,0
seq64702,0,0
seq64709,0,0
seq64725,0,0
seq64728,0,0
seq64736,0,0
seq64756,0,0
seq64763,0,0
seq64819,0,0
seq64901,0,0
seq64926,0,0
seq65014,0,0
seq65023,0,0
seq65037,0,0
seq65096,0,0
seq65101,0,0
seq65179,0,0
seq65184,0,0
seq65185,0,0
seq65262,0,0
seq65280,0,0
seq65298,0,0
seq65318,0,0
seq65397,0,0
